Tree,Crown_Area_m2,AGB_kg,Carbon_kg,CO2_kg
#1,120.41,11632.34,5467.2,20064.62
#2,47.3,3092.12,1453.3,5333.6
#3,70.18,5410.21,2542.8,9332.08
#4,139.64,14352.06,6745.47,24755.87
#5,75.71,6024.32,2831.43,10391.35
#6,17.81,773.87,363.72,1334.84
#7,45.7,2944.53,1383.93,5079.01
#8,63.79,4725.42,2220.95,8150.88
#9,24.54,1219.25,573.05,2103.08
#10,67.43,5111.39,2402.35,8816.64
#11,110.39,10283.83,4833.4,17738.58
#12,25.87,1314.04,617.6,2266.58
#13,18.57,821.26,385.99,1416.6
#14,48.5,3203.76,1505.77,5526.16
#15,73.36,5761.42,2707.87,9937.88
#16,23.76,1164.91,547.51,2009.35
Total,972.98,77834.73,36582.32,134257.12
