Tree,Crown_Area_m2,AGB_kg,Carbon_kg,CO2_kg
#1,166.88,116.1,54.57,200.26
#2,585.32,523.37,245.99,902.77
#3,893.16,869.07,408.46,1499.06
#4,346.92,279.39,131.31,481.92
#5,253.12,191.4,89.96,330.14
#6,105.52,66.98,31.48,115.53
#7,215.96,158.19,74.35,272.87
#8,218.4,160.34,75.36,276.57
#9,374.56,306.31,143.97,528.36
#10,151.48,103.36,48.58,178.29
#11,122.64,80.22,37.7,138.38
#12,263.28,200.65,94.31,346.1
#13,143.24,96.65,45.43,166.72
#14,87.2,53.28,25.04,91.9
#15,171.6,120.05,56.42,207.07
#16,30.52,15.12,7.1,26.07
#17,115.0,74.26,34.9,128.1
#18,871.8,844.19,396.77,1456.14
Total,5116.6,4258.95,2001.71,7346.26
